Date,Description,Category,Amount
2026-01-01,TechCorp Salary,Income,5000.0
2026-01-02,Apex Properties Rent,Rent,-1500.0
2026-01-03,Whole Foods Market,Groceries,-120.5
2026-01-05,Netflix Subscription,Entertainment,-15.49
2026-01-08,City Power & Light,Utilities,-110.2
2026-01-10,Starbucks Coffee,Dining,-6.75
2026-01-12,Amazon.com Purchase,Shopping,-45.99
2026-01-15,Freelance Design Client,Income,600.0
2026-01-18,Chipotle Mexican Grill,Dining,-14.3
2026-01-20,Trader Joe's,Groceries,-85.4
2026-01-22,Spotify Premium,Entertainment,-10.99
2026-01-25,Target Stores,Shopping,-98.5
2026-01-28,Shell Gas Station,Transportation,-42.0
2026-01-30,Olive Garden,Dining,-75.6
